classi,doc_id,cohesionSyn_m,hauteurPh_m,longPh_m,ageManulex_m,longMotOrtho_m,maas_lemma_i,cycle
X,se5mg24,0.347035808004118,5.67728237791932,20.796178343949,6.54804270462633,6.61237785016287,5.51505890406861,deuxieme
X,se5mg27,0.243879680805081,9.43571428571429,44.3178571428571,6.72972972972973,6.87203791469194,5.17077141799288,deuxieme
X,se5mg29,0.319569147949645,6.20053120849934,26.1128818061089,6.66019417475728,6.85201793721973,5.1570861886394,deuxieme
X,se5mg30,0.347451705768469,6.32271584241408,25.5624476110645,6.62328767123288,6.57492354740061,5.6889121463431,deuxieme
X,se5mg31,0.415095198156931,5.09528795811518,16.2450261780105,6.58964143426295,6.07942238267148,5.41722933676076,deuxieme
X,se5mg32,0.289546687377454,8.33680981595092,36.240490797546,6.83376623376623,7.10926365795724,5.84376823075412,deuxieme
N,se5mg51,0.320973599708697,6.90420459471175,29.395752058951,6.43984962406015,6.12105263157895,6.18606753515819,deuxieme
N,se5mg52,0.300685075629135,7.9450156459544,38.228430934287,6.43273542600897,6.17327766179541,5.97167543384681,deuxieme
N,se5mg54,0.415762116243518,5.23640256959315,17.4817987152034,6.57735247208931,6.47344461305008,6.31717196618764,deuxieme
N,se5mg56,0.320498230065032,6.44021294021294,27.04095004095,6.75862068965517,6.64461538461538,6.29469256061778,deuxieme
N,se5mg57,0.398702381743636,5.27288810260946,18.3180008845644,6.48717948717949,6.46915887850467,6.10052751237651,deuxieme
N,se5mg59,0.307966175871318,7.13392857142857,30.5633116883117,6.56666666666667,6.55967741935484,6.21020062648399,deuxieme
X,se5mj-1,0.348260532756993,6.9273127753304,27.5605726872247,6.74377224199288,6.92786885245902,5.56325789953406,deuxieme
X,se5mj-3,0.262345790396495,8.84671532846715,40.4493106244931,6.66666666666667,6.85795454545455,5.66280759009408,deuxieme
N,se5mj57,0.476900340509423,4.96802325581395,15.0190568475452,6.48037676609105,6.07634730538922,6.30624509112118,deuxieme
N,se5mj58,0.419560256666797,5.18100799016595,17.8048555623848,6.45391304347826,6.30858085808581,6.20699156129833,deuxieme
N,se5mj59,0.395647023868005,5.78393665158371,19.6036953242836,6.70127795527157,6.75766016713092,6.4153108115029,deuxieme
N,se5xx04,0.429988390434114,5.08380219129405,15.6887770210246,6.48466257668712,6.40283687943262,6.37549043676925,deuxieme
X,se5xx06,0.279671251216738,7.28115653040877,30.5353938185444,6.83154121863799,7.14983713355049,5.51378096074068,deuxieme
X,se5xx07,0.374423277388413,7.21416083916084,26.6136363636364,6.54166666666667,6.453125,5.34072690589917,deuxieme
X,se5xx08,0.351548332634075,6.272,23.4471111111111,6.5,6.52159468438538,5.52491613666847,deuxieme
X,se5xx10,0.384298785953046,6.86534653465347,26.580198019802,6.73952095808383,6.96286472148541,5.77540836249103,deuxieme
X,se5xx11,0.393614342619834,5.64468580294802,20.3242823894492,6.52577319587629,6.6981981981982,5.22521749736934,deuxieme
N,sec1_ange_1,0.404555391643246,5.9171528588098,21.5507584597433,6.62300319488818,6.37082066869301,5.603590385011,premier
N,sec1_ange_2,0.411100450908081,5.44965517241379,18.8137931034483,6.39004149377593,5.95669291338583,5.35076973592606,premier
X,sec1_avantageux,0.311112030731551,5.66174496644295,26.9919463087248,6.41452991452991,6.2448132780083,5.34280979163133,premier
X,sec1_betes_sport,0.39115574652395,5.46464646464646,21.1636363636364,6.64745762711864,6.9622641509434,5.5763626725768,premier
N,sec1_bounty,0.27233843313953,7.06314580941447,27.7049368541906,6.65399239543726,6.60283687943262,5.48827668747729,premier
X,sec1_bounty,0.27233843313953,7.06314580941447,27.7049368541906,6.65399239543726,6.60283687943262,5.48827668747729,premier
N,sec1_chien,0.363493378246301,6.43951985226223,24.3915050784857,6.51524390243902,6.09356725146199,5.62299047814574,premier
X,sec1_enfance,0.337475265605604,6.58224016145308,26.1685166498486,6.45367412140575,6.37202380952381,5.62380689235902,premier
X,sec1_equipage_brigands,0.488210532136729,6.37117903930131,24.8777292576419,6.71111111111111,6.2680412371134,4.3614658005361,premier
N,sec1_frankenstein,0.375528974001149,6.37961926091825,26.1545352743561,6.97029702970297,7.22873900293255,5.63976709815587,premier
N,sec1_journee_pas,0.331372368443073,6.29893238434164,25.4359430604982,6.34848484848485,5.97630331753555,5.14747094457858,premier
X,sec1_julesverne,0.363212353186948,5.3848167539267,20.1086387434555,6.41441441441441,6.23144104803493,5.34256204175844,premier
X,sec1_mars_planete,0.289219424088508,6.13503649635036,24.7883211678832,6.67924528301887,6.35135135135135,4.55572292495745,premier
N,sec1_maya,0.463946402318322,5.04421326397919,16.2340702210663,6.21518987341772,5.572,5.32876063684538,premier
X,sec1_merveille,0.365067383644639,6.10294117647059,24.1512605042017,6.61666666666667,6.41361256544503,5.0666318964881,premier
X,sec1_mesopotamie,0.406744286017846,5.70232558139535,18.415503875969,6.71428571428571,6.97549019607843,5.14608408869394,premier
X,sec1_nord,0.353249227902581,5.70016207455429,23.3290113452188,6.52604166666667,6.18627450980392,5.18368292090384,premier
X,sec1_peur,0.458421356604729,5.27586206896552,19.1781609195402,6.61481481481481,6.2887323943662,4.72345495992852,premier
N,sec1_photos_1,0.372777358823393,5.36530880420499,18.0328515111695,6.26923076923077,5.85833333333333,5.31098330227193,premier
N,sec1_retrouvailles,0.340977678448766,6.42786069651741,26.7044776119403,6.33546325878594,6.04545454545455,5.61923175438849,premier
X,sec1_sables_bitu,0.415191043638631,5.91913746630728,19.4770889487871,6.79801324503311,6.96625766871166,5.58589142394555,premier
X,sec1_surveillance,0.390741824873786,5.70904645476773,20.0244498777506,6.52830188679245,6.76436781609195,4.93422926790677,premier
X,sec1_tintin,0.228523576293121,6.56474820143885,33.910071942446,6.59615384615385,6.95575221238938,4.59045205638951,premier
X,sec2_alibis,0.446658092701914,6.69973190348525,25,6.73825503355705,6.59880239520958,4.95190221758294,premier
X,sec2_alligator,0.276058240359778,7.13492063492064,35.2976190476191,6.67241379310345,6.2258064516129,4.64566919099469,premier
X,sec2_braconage,0.41791557422751,5.39955849889625,19.1203090507726,6.5859649122807,6.74666666666667,5.51134460443908,premier
X,sec2_cinema_hier,0.401076010924986,5.64029850746269,20.4716417910448,6.61946902654867,6.48523206751055,5.25723678201237,premier
N,sec2_cora,0.367598951015345,5.87529137529138,23.0606060606061,6.48780487804878,6.17889908256881,5.1796262721776,premier
N,sec2_cosette_1,0.375682957744344,5.05112781954887,20.6421052631579,6.48068669527897,5.75527426160338,5.26367714733342,premier
N,sec2_cosette_2,0.39202230943593,5.46765498652291,20.5579514824798,6.37333333333333,6.09205020920502,5.29122765766324,premier
X,sec2_drole_carcasse,0.324636534633384,6.11271676300578,28.5433526011561,6.688,6.08208955223881,4.72173336631015,premier
N,sec2_enlevement_1,0.432136606785901,4.87404580152672,14.8193384223919,6.44705882352941,5.98876404494382,5.41397962561515,premier
N,sec2_enlevement_2,0.436630882979529,4.92042186001918,15.6251198465964,6.57142857142857,6.36857142857143,5.67324416457602,premier
N,sec2_exil,0.438865422679613,4.98152812762385,16.6481947942905,6.58516483516483,6.17241379310345,5.73400579624035,premier
X,sec2_fils_singe,0.438218144990148,5.19101123595506,14.9588014981273,6.53508771929825,5.57983193277311,4.59322045131918,premier
X,sec2_heros_canins,0.347904540341487,6.48736842105263,23.9621052631579,6.49420849420849,6.54035087719298,5.48407389560263,premier
X,sec2_jane_renard_moi,0.517013239294567,5.93436293436293,20.1042471042471,6.47524752475248,6.40740740740741,4.51123254543054,premier
X,sec2_jardin_baobab,0.243270230301226,7.984375,45.6213942307692,6.51792828685259,6.04059040590406,5.44236638693307,premier
X,sec2_lecture,0.308907397477459,6.25944584382872,23.8438287153652,6.58741258741259,6.44585987261147,4.8523823089247,premier
N,sec2_lettre_chine_1,0.391458253029262,5.44926108374384,20.5349753694581,6.50152905198777,6.42465753424658,5.73611959104523,premier
